emoji,description
🥇,Huy chương hạng nhất
🥈,Huy chương hạng 2
🥉,Huy chương hạng 3
⚽,bóng đá
⚾,bóng chày
🥎,bóng mềm
🏀,bóng rổ
🏐,bóng chuyền
🏈,bóng đá mỹ
🏉,Bóng bầu dục bóng bầu dục
🎾,quần vợt
🥏,đĩa bay
🎳,bowling
🏏,trò chơi cricket
🏑,khúc côn cầu
🏒,khúc côn cầu trên băng
🥍,lacrosse
🏓,bóng bàn
🏸,cầu lông
🥊,găng tay đấm bốc
🥋,võ phục
🥅,lưới mục tiêu
⛳,cờ trong lỗ
⛸,giày trượt băng
🎣,cần câu cá
🤿,mặt nạ lặn
🎽,áo chạy bộ
🎿,ván trượt
🛷,xe trượt tuyết
🥌,đá uốn
🎯,đánh trực tiếp
🪀,⊛ yo-yo
🪁,⊛ diều
🎱,pool 8 bóng
🔮,quả cầu pha lê
🧿,bùa hộ mệnh nazar
🎮,tro chơi điện tử
🕹,cần điều khiển
🎰,may đanh bạc
🎲,trò chơi chết
🧩,mảnh ghép
🧸,gấu bông
♠,bộ đồ thuổng
♥,bộ đồ trái tim
♦,bộ đồ kim cương
♣,bộ đồ câu lạc bộ
♟,con cờ
🃏,người pha trò
🀄,mạt chược rồng đỏ
🎴,chơi bài hoa
🎭,biểu diễn nghệ thuật
🖼,khung tranh
🎨,bảng màu nghệ sĩ
🧵,sợi chỉ
🧶,sợi
👓,kính
🕶,kính râm
🥽,kính bảo hộ
🥼,áo khoác phòng thí nghiệm
🦺,Áo bảo hộ
👔,cà vạt
👕,Áo thun
👖,Quần jean
🧣,khăn quàng cổ
🧤,găng tay
🧥,áo choàng ngoài
🧦,vớ
👗,trang phục
👘,kimono
🥻,sari
🩱,áo tắm một mảnh
🩲,tóm tắt
🩳,quần đùi
👙,bikini
👚,quần áo phụ nữ
👛,cái ví
👜,túi xách tay
👝,túi xach tay
🛍,các túi mua sắm
🎒,ba lô
👞,giày của đàn ông
👟,giày chạy bộ
🥾,khởi động đi bộ đường dài
🥿,giày phẳng
👠,giày cao gót
👡,giày sandal của phụ nữ
🩰,giày ba lê
👢,giày của phụ nữ
👑,Vương miện
👒,mũ phụ nữ
🎩,mũ đội đầu
🎓,Nón tốt nghiệp
🧢,giới hạn thanh toán
⛑,mũ bảo hiểm của nhân viên cứu hộ
📿,chuỗi hạt cầu nguyện
💄,son môi
💍,nhẫn
💎,đá quý
🔇,loa tắt tiếng
🔈,loa âm lượng thấp
🔉,loa âm lượng trung bình
🔊,loa âm lượng lớn
📢,loa phóng thanh
📣,cái loa
📯,còi bưu điện
🔔,chuông
🔕,chuông có dấu gạch chéo
🎼,điểm âm nhạc
🎵,nốt nhạc
🎶,Nốt nhạc
🎙,micrô phòng thu
🎚,thanh trượt cấp
🎛,nút điều khiển
🎤,cái mic cờ rô
🎧,tai nghe
📻,Đài
🎷,saxophone
🎸,đàn ghi ta
🎹,bàn phím âm nhạc
🎺,kèn
🎻,đàn vi ô lông
🪕,banjo
🥁,trống
📱,điện thoại di động
📲,điện thoại di động có mũi tên
☎,Điện thoại
📞,người nhận điện thoại
📟,máy nhắn tin
📠,máy fax
🔋,ắc quy
🔌,phích cắm điện
💻,máy tính xách tay
🖥,máy tính desktop
🖨,máy in
⌨,bàn phím
🖱,chuột máy tính
🖲,bi xoay
💽,đĩa máy tính
💾,đĩa mềm
💿,đĩa quang
📀,đĩa DVD
🧮,bàn tính
🎥,máy quay phim
🎞,khung phim
📽,máy chiếu phim
🎬,bảng vỗ tay
📺,Tivi
📷,Máy ảnh
📸,máy ảnh có đèn flash
📹,máy quay video
📼,videocassette
🔍,kính lúp nghiêng trái
🔎,kính lúp nghiêng sang phải
🕯,nến
💡,bóng đèn
🔦,đèn pin
🏮,đèn lồng giấy đỏ
🪔,đèn diya
📔,sổ tay có bìa trang trí
📕,cuốn sách đóng lại
📖,mở sách
📗,sách xanh
📘,cuốn sách màu xanh
📙,cuốn sách màu cam
📚,sách
📓,sổ tay
📒,sổ cái
📃,trang có cuộn
📜,cuộn giấy
📄,trang hướng lên
📰,báo chí
🗞,tờ báo cuộn lại
📑,tab đánh dấu
🔖,dấu trang
🏷,nhãn
💰,túi tiền
💴,tiền giấy yên
💵,tiền giấy đô la
💶,tiền giấy euro
💷,tiền giấy bảng Anh
💸,tiền có cánh
💳,thẻ tín dụng
🧾,biên lai
💹,biểu đồ tăng theo yên
💱,thu đổi ngoại tệ
💲,ký hiệu đô la nặng
✉,phong bì
📧,e-mail
📨,phong bì đến
📩,phong bì có mũi tên
📤,khay hộp thư đi
📥,khay hộp thư đến
📦,gói hàng
📫,hộp thư đóng với lá cờ được nâng lên
📪,đóng hộp thư với cờ hạ xuống
📬,mở hộp thư với lá cờ được nâng lên
📭,mở hộp thư với cờ hạ xuống
📮,hộp thư
🗳,thùng phiếu với lá phiếu
✏,bút chì
✒,ngòi đen
🖋,bút máy
🖊,cây bút
🖌,cọ sơn
🖍,bút sáp màu
📝,bản ghi nhớ
💼,Va li công tác
📁,thư mục tập tin
📂,mở thư mục tệp
🗂,bộ chia chỉ mục thẻ
📅,lịch
📆,lịch xé
🗒,sổ tay xoắn ốc
🗓,lịch xoắn ốc
📇,chỉ mục thẻ
📈,biểu đồ tăng
📉,biểu đồ giảm
📊,biểu đồ cột
📋,bìa kẹp hồ sơ
📌,đinh ghim
📍,đinh ghim tròn
📎,Cái kẹp giấy
🖇,giấy ghim liên kết
📏,thước thẳng
📐,thước tam giác
✂,cây kéo
🗃,hộp tập tin thẻ
🗄,tủ đựng hồ sơ
🗑,thùng rác
🔒,bị khóa
🔓,mở khóa
🔏,bị khóa bằng bút
🔐,khóa bằng chìa khóa
🔑,Chìa khóa
🗝,chìa khóa cũ
🔨,cây búa
🪓,rìu
⛏,hái
⚒,búa và chọn
🛠,búa và cờ lê
🗡,dao găm
⚔,kiếm chéo
🔫,súng lục
🏹,cung và tên
🛡,cái khiên
🔧,cờ lê
🔩,đai ốc và bu lông
⚙,Hộp số
🗜,kẹp
⚖,quy mô cân bằng
🦯,cây gậy thăm dò
🔗,liên kết
⛓,dây chuyền
🧰,hộp công cụ
🧲,nam châm
⚗,alembic
🧪,ống nghiệm
🧫,đĩa petri
🧬,dna
🔬,kính hiển vi
🔭,kính thiên văn
📡,ăng ten vệ tinh
💉,ống tiêm
🩸,giọt máu
💊,Viên thuốc
🩹,Băng dính 
🩺,ống nghe
🚪,cửa
🛏,Giường
🛋,đi văng và đèn
🪑,ghế
🚽,phòng vệ sinh
🚿,vòi sen
🛁,bồn tắm
🪒,dao cạo râu
🧴,chai kem dưỡng da
🧷,pin an toàn
🧹,cái chổi
🧺,cái rổ
🧻,Cuộn giấy
🧼,xà bông tắm
🧽,bọt biển
🧯,bình cứu hỏa
🛒,giỏ hàng
🚬,thuốc lá
⚰,quan tài
⚱,bình tang lễ
🗿,moai
🏧,Ký hiệu ATM
🚮,xả rác trong thùng rác
🚰,nước sạch
♿,biểu tượng xe lăn
🚹,phòng của nam giới
🚺,phòng nữ
🚻,phòng vệ sinh
🚼,biểu tượng em bé
🚾,tủ đựng nước
🛂,kiểm tra hộ chiếu
🛃,phong tục
🛄,nhận hành lý
🛅,hành lý để lại
⚠,cảnh báo
🚸,trẻ em băng qua
⛔,cấm vào
🚫,Cấm
🚳,không có xe đạp
🚭,không hút thuốc
🚯,không vứt rác bừa bãi
🚱,nước không uống được
🚷,không có người đi bộ
📵,không có điện thoại di động
🔞,không ai dưới mười tám tuổi
☢,phóng xạ
☣,nguy hiểm sinh học
⬆,mũi tên lên
↗,mũi tên lên phải
➡,mũi tên bên phải
↘,mũi tên xuống bên phải
⬇,mũi tên xuống
↙,mũi tên xuống bên trái
⬅,mũi tên trái
↖,mũi tên lên trái
↕,mũi tên lên xuống
↔,mũi tên trái-phải
↩,mũi tên phải cong trái
↪,mũi tên trái uốn cong bên phải
⤴,mũi tên phải cong lên
⤵,mũi tên phải cong xuống
🔃,mũi tên dọc theo chiều kim đồng hồ
🔄,nút mũi tên ngược chiều kim đồng hồ
🔙,Mũi tên QUAY LẠI
🔚,Mũi tên KẾT THÚC
🔛,TRÊN! mũi tên
🔜,Mũi tên SOON
🔝,Mũi tên hàng đầu
🛐,nơi thờ cúng
⚛,biểu tượng nguyên tử
🕉,om
✡,ngôi sao của David
☸,bánh xe pháp
☯,âm dương
✝,chữ thập latin
☦,thập giá chính thống
☪,ngôi sao và lưỡi liềm
☮,biểu tượng hòa bình
🕎,menorah
🔯,ngôi sao sáu cánh chấm
♈,Bạch Dương
♉,chòm sao Kim Ngưu
♊,Song Tử
♋,Ung thư
♌,Sư Tử
♍,Xử Nữ
♎,Thiên Bình
♏,Bò Cạp
♐,chòm sao Nhân Mã
♑,Ma Kết
♒,Bảo Bình
♓,cung Song Ngư
⛎,Ophiuchus
🔀,nút trộn bài hát
🔁,nút lặp lại
🔂,lặp lại một nút
▶,nút phát
⏩,nút tua nhanh
⏭,nút theo dõi tiếp theo
⏯,nút phát hoặc tạm dừng
◀,nút đảo ngược
⏪,nút đảo ngược nhanh
⏮,nút theo dõi cuối cùng
🔼,nút hướng lên
⏫,nút tăng nhanh
🔽,nút xuống
⏬,nút xuống nhanh
⏸,nút tạm dừng
⏹,Nút dừng
⏺,nút ghi âm
⏏,nút đẩy
🎦,Rạp chiếu phim
🔅,nút mờ
🔆,nút sáng
📶,thanh ăng ten
📳,chế độ rung
📴,điện thoại di động tắt
♀,dấu hiệu nữ
♂,dấu hiệu nam
⚕,biểu tượng y tế
♾,vô cực
♻,biểu tượng tái chế
⚜,Hoa bách hợp
🔱,biểu tượng đinh ba
📛,huy hiệu tên
🔰,Biểu tượng tiếng Nhật cho người mới bắt đầu
⭕,hình tròn rỗng màu đỏ
✅,nút dấu kiểm
☑,hộp kiểm tra với séc
✔,đánh dấu
✖,dấu nhân
❌,dấu chéo
❎,nút dấu chéo
➕,dấu cộng
➖,dấu trừ
➗,dấu hiệu phân chia
➰,vòng lặp xoăn
➿,vòng lặp xoăn kép
〽,dấu luân phiên phần
✳,dấu hoa thị tám chấm
✴,ngôi sao tám cánh
❇,lấp lánh
‼,dấu chấm than kép
⁉,dấu chấm hỏi chấm than
❓,dấu chấm hỏi
❔,dấu chấm hỏi màu trắng
❕,dấu chấm than trắng
❗,dấu chấm than
〰,dấu gạch ngang gợn sóng
©,bản quyền
®,đã đăng ký
™,Nhãn hiệu
#️⃣,keycap: #
*️⃣,keycap: *
0️⃣,keycap: 0
1️⃣,keycap: 1
2️⃣,keycap: 2
3️⃣,keycap: 3
4️⃣,keycap: 4
5️⃣,keycap: 5
6️⃣,keycap: 6
7️⃣,keycap: 7
8️⃣,keycap: 8
9️⃣,keycap: 9
🔟,keycap: 10
🔠,nhập chữ hoa latin
🔡,nhập chữ thường latin
🔢,đầu vào số
🔣,ký hiệu đầu vào
🔤,nhập các chữ cái latin
🅰,Nút A (nhóm máu)
🆎,Nút AB (nhóm máu)
🅱,Nút B (nhóm máu)
🆑,Nút CL
🆒,Nút COOL
🆓,Nút MIỄN PHÍ
ℹ,thông tin
🆔,Nút ID
Ⓜ,khoanh tròn M
🆕,Nút MỚI
🆖,Nút NG
🅾,Nút O (nhóm máu)
🆗,Nút OK
🅿,Nút P
🆘,Nút SOS
🆙,LÊN! cái nút
🆚,Nút VS
🈁,Nút “tại đây” tiếng Nhật
🈂,"Nút ""phí dịch vụ"" tiếng Nhật"
🈷,"Nút ""số tiền hàng tháng"" của Nhật Bản"
🈶,"Nút ""không miễn phí"" tiếng Nhật"
🈯,"Nút ""đặt trước"" tiếng Nhật"
🉐,"Nút ""mặc cả"" của Nhật Bản"
🈹,"Nút ""giảm giá"" tiếng Nhật"
🈚,"Nút ""miễn phí"" tiếng Nhật"
🈲,"Nút ""bị cấm"" trong tiếng Nhật"
🉑,"Nút ""chấp nhận được"" của Nhật Bản"
🈸,"Nút ""ứng dụng"" tiếng Nhật"
🈴,"Nút ""vượt qua điểm"" tiếng Nhật"
🈳,"Nút ""vị trí tuyển dụng"" của Nhật Bản"
㊗,"Nút ""chúc mừng"" tiếng Nhật"
㊙,"Nút ""bí mật"" của Nhật Bản"
🈺,"Nút ""mở cửa cho doanh nghiệp"" trong tiếng Nhật"
🈵,"Nút ""không có vị trí tuyển dụng"" trong tiếng Nhật"
🔴,vòng tròn đỏ
🟠,⊛ vòng tròn màu cam
🟡,⊛ vòng tròn màu vàng
🟢,⊛ vòng tròn màu xanh lá cây
🔵,vòng tròn màu xanh
🟣,⊛ vòng tròn màu tím
🟤,⊛ vòng tròn màu nâu
⚫,vòng tròn đen
⚪,vòng tròn màu trắng
🟥,⊛ hình vuông màu đỏ
🟧,⊛ hình vuông màu cam
🟨,⊛ hình vuông màu vàng
🟩,⊛ hình vuông màu xanh lá cây
🟦,⊛ hình vuông màu xanh
🟪,⊛ hình vuông màu tím
🟫,⊛ hình vuông màu nâu
⬛,hình vuông lớn màu đen
⬜,hình vuông lớn màu trắng
◼,hình vuông màu đen vừa
◻,hình vuông màu trắng vừa
◾,hình vuông đen vừa và nhỏ
◽,hình vuông vừa và nhỏ màu trắng
▪,hình vuông nhỏ màu đen
▫,hình vuông nhỏ màu trắng
🔶,kim cương lớn màu cam
🔷,viên kim cương xanh lớn
🔸,kim cương nhỏ màu cam
🔹,viên kim cương xanh nhỏ
🔺,tam giác đỏ hướng lên
🔻,hình tam giác màu đỏ hướng xuống
💠,kim cương với một dấu chấm
🔘,nút radio
🔳,nút vuông màu trắng
🔲,nút vuông đen
🏁,cờ ca rô
🚩,cờ tam giác
🎌,cờ chéo
🏴,cờ đen
🏳,cờ trắng
🏳️‍🌈,cờ cầu vồng
🏴‍☠️,cờ cướp biển
🇦🇨,cờ: Đảo Thăng thiên
🇦🇩,cờ: Andorra
🇦🇪,cờ: Các Tiểu vương quốc Ả Rập Thống nhất
🇦🇫,cờ: Afghanistan
🇦🇬,cờ: Antigua & Barbuda
🇦🇮,cờ: Anguilla
🇦🇱,cờ: Albania
🇦🇲,cờ: Armenia
🇦🇴,cờ: Angola
🇦🇶,cờ: Nam Cực
🇦🇷,cờ: Argentina
🇦🇸,cờ: American Samoa
🇦🇹,cờ: Áo
🇦🇺,cờ: Úc
🇦🇼,cờ: Aruba
🇦🇽,cờ: Quần đảo Åland
🇦🇿,cờ: Azerbaijan
🇧🇦,cờ: Bosnia & Herzegovina
🇧🇧,cờ: Barbados
🇧🇩,cờ: Bangladesh
🇧🇪,cờ: Bỉ
🇧🇫,cờ: Burkina Faso
🇧🇬,cờ: Bulgaria
🇧🇭,cờ: Bahrain
🇧🇮,cờ: Burundi
🇧🇯,cờ: Benin
🇧🇱,cờ: St. Barthélemy
🇧🇲,cờ: Bermuda
🇧🇳,cờ: Brunei
🇧🇴,cờ: Bolivia
🇧🇶,cờ: Caribe Hà Lan
🇧🇷,cờ: Brazil
🇧🇸,cờ: Bahamas
🇧🇹,cờ: Bhutan
🇧🇻,cờ: Đảo Bouvet
🇧🇼,cờ: Botswana
🇧🇾,cờ: Belarus
🇧🇿,cờ: Belize
🇨🇦,cờ: Canada
🇨🇨,cờ: Quần đảo Cocos (Keeling)
🇨🇩,cờ: Congo - Kinshasa
🇨🇫,cờ: Cộng hòa Trung Phi
🇨🇬,cờ: Congo - Brazzaville
🇨🇭,cờ: Thụy Sĩ
🇨🇮,cờ: Côte d'Ivoire
🇨🇰,cờ: Quần đảo Cook
🇨🇱,cờ: Chile
🇨🇲,cờ: Cameroon
🇨🇳,cờ: Trung Quốc
🇨🇴,cờ: Colombia
🇨🇵,cờ: Đảo Clipperton
🇨🇷,cờ: Costa Rica
🇨🇺,cờ: Cuba
🇨🇻,cờ: Cape Verde
🇨🇼,cờ: Curaçao
🇨🇽,cờ: Đảo Christmas
🇨🇾,cờ: Cyprus
🇨🇿,cờ: Czechia
🇩🇪,cờ: Đức
🇩🇬,cờ: Diego Garcia
🇩🇯,cờ: Djibouti
🇩🇰,cờ: Đan Mạch
🇩🇲,cờ: Dominica
🇩🇴,cờ: Cộng hòa Dominica
🇩🇿,cờ: Algeria
🇪🇦,cờ: Ceuta & Melilla
🇪🇨,cờ: Ecuador
🇪🇪,cờ: Estonia
🇪🇬,cờ: Ai Cập
🇪🇭,cờ: Tây Sahara
🇪🇷,cờ: Eritrea
🇪🇸,cờ: Tây Ban Nha
🇪🇹,cờ: Ethiopia
🇪🇺,cờ: Liên minh Châu Âu
🇫🇮,cờ: Phần Lan
🇫🇯,cờ: Fiji
🇫🇰,cờ: Quần đảo Falkland
🇫🇲,cờ: Micronesia
🇫🇴,cờ: Quần đảo Faroe
🇫🇷,cờ: Pháp
🇬🇦,cờ: Gabon
🇬🇧,cờ: Vương quốc Anh
🇬🇩,cờ: Grenada
🇬🇪,cờ: Georgia
🇬🇫,cờ: Guiana thuộc Pháp
🇬🇬,cờ: Guernsey
🇬🇭,cờ: Ghana
🇬🇮,cờ: Gibraltar
🇬🇱,cờ: Greenland
🇬🇲,cờ: Gambia
🇬🇳,cờ: Guinea
🇬🇵,cờ: Guadeloupe
🇬🇶,cờ: Guinea Xích đạo
🇬🇷,cờ: Hy Lạp
🇬🇸,cờ: Nam Georgia & Quần đảo Nam Sandwich
🇬🇹,cờ: Guatemala
🇬🇺,cờ: Guam
🇬🇼,cờ: Guinea-Bissau
🇬🇾,cờ: Guyana
🇭🇰,cờ: Hong Kong SAR China
🇭🇲,cờ: Quần đảo Heard & McDonald
🇭🇳,cờ: Honduras
🇭🇷,cờ: Croatia
🇭🇹,cờ: Haiti
🇭🇺,cờ: Hungary
🇮🇨,cờ: Quần đảo Canary
🇮🇩,cờ: Indonesia
🇮🇪,cờ: Ireland
🇮🇱,cờ: Israel
🇮🇲,cờ: Đảo Man
🇮🇳,cờ: Ấn Độ
🇮🇴,cờ: Lãnh thổ Ấn Độ Dương thuộc Anh
🇮🇶,cờ: Iraq
🇮🇷,cờ: Iran
🇮🇸,cờ: Iceland
🇮🇹,cờ: Ý
🇯🇪,cờ: Jersey
🇯🇲,cờ: Jamaica
🇯🇴,cờ: Jordan
🇯🇵,cờ: Nhật Bản
🇰🇪,cờ: Kenya
🇰🇬,cờ: Kyrgyzstan
🇰🇭,cờ: Campuchia
🇰🇮,cờ: Kiribati
🇰🇲,cờ: Comoros
🇰🇳,cờ: St. Kitts & Nevis
🇰🇵,cờ: Bắc Triều Tiên
🇰🇷,cờ: Hàn Quốc
🇰🇼,cờ: Kuwait
🇰🇾,cờ: Quần đảo Cayman
🇰🇿,cờ: Kazakhstan
🇱🇦,cờ: Lào
🇱🇧,cờ: Lebanon
🇱🇨,cờ: St. Lucia
🇱🇮,cờ: Liechtenstein
🇱🇰,cờ: Sri Lanka
🇱🇷,cờ: Liberia
🇱🇸,cờ: Lesotho
🇱🇹,cờ: Lithuania
🇱🇺,cờ: Luxembourg
🇱🇻,cờ: Latvia
🇱🇾,cờ: Libya
🇲🇦,cờ: Maroc
🇲🇨,cờ: Monaco
🇲🇩,cờ: Moldova
🇲🇪,cờ: Montenegro
🇲🇫,cờ: St. Martin
🇲🇬,cờ: Madagascar
🇲🇭,cờ: Quần đảo Marshall
🇲🇰,cờ: Bắc Macedonia
🇲🇱,cờ: Mali
🇲🇲,cờ: Myanmar (Miến Điện)
🇲🇳,cờ: Mông Cổ
🇲🇴,cờ: Macao SAR China
🇲🇵,cờ: Quần đảo Bắc Mariana
🇲🇶,cờ: Martinique
🇲🇷,cờ: Mauritania
🇲🇸,cờ: Montserrat
🇲🇹,cờ: Malta
🇲🇺,cờ: Mauritius
🇲🇻,cờ: Maldives
🇲🇼,cờ: Malawi
🇲🇽,cờ: Mexico
🇲🇾,cờ: Malaysia
🇲🇿,cờ: Mozambique
🇳🇦,cờ: Namibia
🇳🇨,cờ: New Caledonia
🇳🇪,cờ: Niger
🇳🇫,cờ: Đảo Norfolk
🇳🇬,cờ: Nigeria
🇳🇮,cờ: Nicaragua
🇳🇱,cờ: Hà Lan
🇳🇴,cờ: Na Uy
🇳🇵,cờ: Nepal
🇳🇷,cờ: Nauru
🇳🇺,cờ: Niue
🇳🇿,cờ: New Zealand
🇴🇲,cờ: Oman
🇵🇦,cờ: Panama
🇵🇪,cờ: Peru
🇵🇫,cờ: Polynesia thuộc Pháp
🇵🇬,cờ: Papua New Guinea
🇵🇭,cờ: Philippines
🇵🇰,cờ: Pakistan
🇵🇱,cờ: Ba Lan
🇵🇲,cờ: St. Pierre & Miquelon
🇵🇳,cờ: Quần đảo Pitcairn
🇵🇷,cờ: Puerto Rico
🇵🇸,cờ: Lãnh thổ Palestine
🇵🇹,cờ: Bồ Đào Nha
🇵🇼,cờ: Palau
🇵🇾,cờ: Paraguay
🇶🇦,cờ: Qatar
🇷🇪,cờ: Réunion
🇷🇴,cờ: Romania
🇷🇸,cờ: Serbia
🇷🇺,cờ: Nga
🇷🇼,cờ: Rwanda
🇸🇦,cờ: Ả Rập Xê Út
🇸🇧,cờ: Quần đảo Solomon
🇸🇨,cờ: Seychelles
🇸🇩,cờ: Sudan
🇸🇪,cờ: Thụy Điển
🇸🇬,cờ: Singapore
🇸🇭,cờ: St. Helena
🇸🇮,cờ: Slovenia
🇸🇯,cờ: Svalbard & Jan Mayen
🇸🇰,cờ: Slovakia
🇸🇱,cờ: Sierra Leone
🇸🇲,cờ: San Marino
🇸🇳,cờ: Senegal
🇸🇴,cờ: Somalia
🇸🇷,cờ: Suriname
🇸🇸,cờ: Nam Sudan
🇸🇹,cờ: São Tomé & Príncipe
🇸🇻,cờ: El Salvador
🇸🇽,cờ: Sint Maarten
🇸🇾,cờ: Syria
🇸🇿,cờ: Eswatini
🇹🇦,cờ: Tristan da Cunha
🇹🇨,cờ: Quần đảo Turks & Caicos
🇹🇩,cờ: Chad
🇹🇫,cờ: Lãnh thổ phía Nam thuộc Pháp
🇹🇬,cờ: Togo
🇹🇭,cờ: Thái Lan
🇹🇯,cờ: Tajikistan
🇹🇰,cờ: Tokelau
🇹🇱,cờ: Timor-Leste
🇹🇲,cờ: Turkmenistan
🇹🇳,cờ: Tunisia
🇹🇴,cờ: Tonga
🇹🇷,cờ: Thổ Nhĩ Kỳ
🇹🇹,cờ: Trinidad & Tobago
🇹🇻,cờ: Tuvalu
🇹🇼,cờ: Đài Loan
🇹🇿,cờ: Tanzania
🇺🇦,cờ: Ukraine
🇺🇬,cờ: Uganda
🇺🇲,cờ: Quần đảo xa xôi của Hoa Kỳ
🇺🇳,cờ: Liên hợp quốc
🇺🇸,cờ: Hoa Kỳ
🇺🇾,cờ: Uruguay
🇺🇿,cờ: Uzbekistan
🇻🇦,cờ: Thành phố Vatican
🇻🇨,cờ: St. Vincent & Grenadines
🇻🇪,cờ: Venezuela
🇻🇬,cờ: Quần đảo Virgin thuộc Anh
🇻🇮,cờ: Quần đảo Virgin thuộc Hoa Kỳ
🇻🇳,cờ: việt nam
🇻🇺,cờ: Vanuatu
🇼🇫,cờ: Wallis & Futuna
🇼🇸,cờ: Samoa
🇽🇰,cờ: Kosovo
🇾🇪,cờ: Yemen
🇾🇹,cờ: Mayotte
🇿🇦,cờ: Nam Phi
🇿🇲,cờ: Zambia
🇿🇼,cờ: Zimbabwe
🏴󠁧󠁢󠁥󠁮󠁧󠁿,cờ: ⊖gbeng
🏴󠁧󠁢󠁳󠁣󠁴󠁿,cờ: ⊖gbsct
🏴󠁧󠁢󠁷󠁬󠁳󠁿,cờ: ⊖gbwls
